epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0115,0.68257,3.58032,0.88181,0.0025,0.41134,0.02976,0.02317,0.6538,4.49575,0.78982,0.000407407,0.000407407,0.000407407
2,78.2433,0.66245,2.15917,0.8863,1,0.05214,0.67718,0.59397,0.61742,3.78994,0.85865,0.000813876,0.000813876,0.000813876
3,112.04,0.63173,1.70447,0.87995,0.9519,0.83979,0.94799,0.83642,0.53573,1.94703,0.85015,0.00121003,0.00121003,0.00121003
4,144.292,0.61821,1.3973,0.86832,0.96141,0.92551,0.98271,0.84533,0.56704,1.22146,0.85166,0.00120359,0.00120359,0.00120359
5,178.075,0.58319,1.18514,0.85944,0.95951,0.89397,0.9662,0.82143,0.57809,1.02121,0.86201,0.00118812,0.00118812,0.00118812
6,221.169,0.59942,1.03993,0.86929,0.98868,0.7703,0.82531,0.73887,0.49746,0.89341,0.82977,0.00117266,0.00117266,0.00117266
7,260.226,0.56063,0.92139,0.8542,0.96764,0.78102,0.84851,0.74093,0.55194,0.8421,0.83231,0.00115719,0.00115719,0.00115719
8,298.494,0.5607,0.83991,0.85427,0.94366,0.94664,0.97936,0.86893,0.50133,0.77724,0.82905,0.00114172,0.00114172,0.00114172
9,332.424,0.5271,0.76413,0.84337,0.94691,0.94616,0.97551,0.86011,0.48281,0.70768,0.82988,0.00112625,0.00112625,0.00112625
10,363.659,0.51967,0.72985,0.8443,0.99339,0.93977,0.9802,0.86501,0.50832,0.64805,0.82413,0.00111078,0.00111078,0.00111078
11,395.635,0.53499,0.70426,0.85007,0.98538,0.91304,0.97966,0.89219,0.44192,0.62136,0.81564,0.00109531,0.00109531,0.00109531
12,425.192,0.50945,0.65009,0.85038,0.98536,0.92142,0.99117,0.89484,0.44829,0.55671,0.81305,0.00107984,0.00107984,0.00107984
13,454.202,0.49745,0.62297,0.84945,0.96936,0.9342,0.97538,0.88895,0.42808,0.5287,0.81713,0.00106437,0.00106437,0.00106437
14,482.561,0.49257,0.57453,0.83867,0.9643,0.94489,0.98086,0.89657,0.42089,0.49514,0.81046,0.00104891,0.00104891,0.00104891
15,510.941,0.47108,0.53752,0.83406,0.96597,0.96366,0.98496,0.8854,0.44852,0.46664,0.82179,0.00103344,0.00103344,0.00103344
16,538.603,0.48679,0.55927,0.8462,0.98091,0.96411,0.99161,0.88352,0.46614,0.49916,0.80988,0.00101797,0.00101797,0.00101797
17,566.287,0.48207,0.51464,0.84633,0.98818,0.96953,0.99188,0.88912,0.42454,0.46005,0.80615,0.0010025,0.0010025,0.0010025
18,593.53,0.44727,0.4861,0.82984,0.99368,0.96254,0.98802,0.89673,0.40631,0.42299,0.80337,0.000987031,0.000987031,0.000987031
19,620.893,0.44384,0.47279,0.82691,0.98885,0.95517,0.98644,0.8945,0.41415,0.39906,0.80122,0.000971562,0.000971562,0.000971562
20,648.585,0.45411,0.46782,0.83536,0.99099,0.93955,0.98582,0.90529,0.37663,0.40251,0.79627,0.000956094,0.000956094,0.000956094
21,675.761,0.463,0.47105,0.8314,0.97723,0.95659,0.98482,0.89031,0.42991,0.4165,0.81629,0.000940625,0.000940625,0.000940625
22,702.979,0.45059,0.45128,0.83169,0.98705,0.97085,0.98764,0.90289,0.40217,0.39695,0.80396,0.000925156,0.000925156,0.000925156
23,730.171,0.45311,0.43728,0.83914,0.94846,0.98737,0.98749,0.89608,0.4218,0.37982,0.80568,0.000909688,0.000909688,0.000909688
24,757.044,0.44622,0.44039,0.8361,0.98441,0.91871,0.98462,0.90478,0.43341,0.41099,0.80195,0.000894219,0.000894219,0.000894219
25,785.169,0.43895,0.42151,0.82278,0.98467,0.93706,0.98187,0.90371,0.39947,0.37668,0.79578,0.00087875,0.00087875,0.00087875
26,813.744,0.41352,0.41118,0.81943,0.99256,0.97471,0.98721,0.90099,0.40277,0.36392,0.80261,0.000863281,0.000863281,0.000863281
27,841.148,0.42588,0.40268,0.823,0.99343,0.95874,0.99127,0.91263,0.39661,0.35831,0.80011,0.000847813,0.000847813,0.000847813
28,869.328,0.41235,0.40748,0.81718,0.97047,0.98908,0.98876,0.92227,0.39521,0.34735,0.79355,0.000832344,0.000832344,0.000832344
29,896.097,0.40851,0.38311,0.81349,0.99697,0.97635,0.98916,0.91526,0.37951,0.34477,0.79262,0.000816875,0.000816875,0.000816875
30,922.928,0.40503,0.38124,0.81886,0.97477,0.97259,0.98795,0.90483,0.41265,0.36079,0.79836,0.000801406,0.000801406,0.000801406
31,949.431,0.39745,0.37674,0.81743,0.98945,0.94932,0.98688,0.92168,0.37149,0.32566,0.79313,0.000785938,0.000785938,0.000785938
32,976.65,0.39397,0.36773,0.81526,0.99275,0.97874,0.98864,0.90976,0.37486,0.32567,0.7894,0.000770469,0.000770469,0.000770469
33,1002.43,0.40249,0.37478,0.8181,0.98377,0.96334,0.98568,0.91463,0.37583,0.34011,0.80058,0.000755,0.000755,0.000755
34,1075.55,0.40793,0.36843,0.81478,0.98206,0.9781,0.98708,0.89321,0.43251,0.34392,0.80329,0.000739531,0.000739531,0.000739531
35,1101.11,0.39186,0.35759,0.81669,0.99314,0.94977,0.98176,0.90864,0.38171,0.31146,0.79336,0.000724062,0.000724062,0.000724062
36,1357.69,0.38239,0.34235,0.81841,0.99073,0.9723,0.98928,0.8978,0.4136,0.325,0.80372,0.000708594,0.000708594,0.000708594
37,1441.42,0.41155,0.35543,0.82573,0.99468,0.97592,0.99221,0.926,0.38139,0.30485,0.79818,0.000693125,0.000693125,0.000693125
38,1470.37,0.40002,0.35048,0.81281,0.99454,0.97593,0.98975,0.92193,0.39267,0.32236,0.79414,0.000677656,0.000677656,0.000677656
39,1496.69,0.38033,0.34538,0.80172,0.99088,0.98082,0.98883,0.92994,0.36165,0.29551,0.79345,0.000662188,0.000662188,0.000662188
40,1522.51,0.38291,0.33438,0.81678,0.98948,0.97819,0.98874,0.92289,0.36225,0.28927,0.78878,0.000646719,0.000646719,0.000646719
41,1549.42,0.37774,0.33731,0.81457,0.99222,0.98751,0.99087,0.92284,0.35836,0.28333,0.78873,0.00063125,0.00063125,0.00063125
42,1576.98,0.36772,0.32179,0.81672,0.97694,0.97044,0.98735,0.93512,0.33696,0.29641,0.78585,0.000615781,0.000615781,0.000615781
43,1602.98,0.37453,0.32112,0.80665,0.98354,0.95479,0.98625,0.93122,0.35422,0.28356,0.78541,0.000600313,0.000600313,0.000600313
44,1629.16,0.36004,0.31513,0.80537,0.99434,0.96444,0.98765,0.93821,0.3441,0.28189,0.78318,0.000584844,0.000584844,0.000584844
45,1655.75,0.3606,0.3115,0.80562,0.99626,0.9701,0.98763,0.92092,0.3548,0.27836,0.786,0.000569375,0.000569375,0.000569375
